run,eval,acc,macro_f1,wf1,uar
run_hf_e2e_all_stage2_1,eval_testA,0.9328282828282828,0.9288411565408129,0.9328260970711084,0.9259925320201676
run_hf_e2e_all_stage2_1,eval_testB,0.6,0.4120474621285117,0.5861344714502046,0.40640946505383707
run_hf_e2e_all_stage2_auto,eval_testA,0.9267676767676768,0.9262818326312586,0.9268464865042727,0.9166007937609475
run_hf_e2e_all_stage2_auto,eval_testB,0.5980842911877394,0.424997510531981,0.5954329214595442,0.4265166304775107
run_hf_e2e_meld_ft_1,eval_testA,0.1808080808080808,0.16464704188907345,0.18587467970887692,0.17896354450364213
run_hf_e2e_meld_ft_1,eval_testB,0.5578544061302682,0.43870655620759236,0.5917156853518323,0.5027212756596071
run_hf_e2e_meld_ft_ctx7_a15,eval_testA,0.9277777777777778,0.9240952204631476,0.9277346393154197,0.9162666781230794
run_hf_e2e_meld_ft_ctx7_a15,eval_testB,0.6,0.4234486009304767,0.5979081307824718,0.42243189415831134
run_hf_e2e_meld_ft_ctx9_a20,eval_testA,0.9308080808080809,0.9263736581704827,0.9307034925164294,0.9217216645852526
run_hf_e2e_meld_ft_ctx9_a20,eval_testB,0.5942528735632184,0.4195792212810912,0.5938580561334713,0.42695237282383397
run_iemocap_mfcc80,eval,0.45440613026819926,0.2369003182548439,0.4232217118210773,0.23769486304283707
run_meld_ft_from_stage2_ctx7,eval_testA,0.9363636363636364,0.9322421760928086,0.936230151472791,0.9236892775101461
run_meld_ft_from_stage2_ctx7,eval_testB,0.6199233716475095,0.43326136225950734,0.6115692483676853,0.42573950800123994
run_meld_ft_from_stage2_ctx9,eval_testA,0.9333333333333333,0.9291973370451311,0.9331282912795629,0.9237894360218276
run_meld_ft_from_stage2_ctx9,eval_testB,0.6088122605363985,0.4358687993302646,0.6067189944809162,0.4338549913938568
synth2_AT,eval,0.5833333333333334,0.5888888888888889,0.5805555555555556,0.6333333333333333
synth_A,eval,0.5833333333333334,0.544011544011544,0.5241702741702742,0.6222222222222222
synth_AT,eval,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.08333333333333333
synth_AVT,eval,0.25,0.23148148148148148,0.2523148148148148,0.2333333333333333
synth_T,eval,0.3333333333333333,0.26495726495726496,0.2371794871794872,0.3611111111111111
